Name,Stmts,Miss,Cover
Lib\test\test_exception_hierarchy.py,143,91,36%
Lib\test\test_exceptions.py,1779,1622,9%
Lib\test\test_extcall.py,9,3,67%
Lib\test\test_faulthandler.py,370,255,31%
Lib\test\test_fcntl.py,161,151,6%
Lib\test\test_file.py,227,183,19%
Lib\test\test_file_eintr.py,95,52,45%
Lib\test\test_filecmp.py,154,129,16%
Lib\test\test_fileinput.py,681,552,19%
Lib\test\test_fileio.py,455,348,24%
Lib\test\test_fileutils.py,19,11,42%
Lib\test\test_finalization.py,368,262,29%
Lib\test\test_float.py,1098,1087,1%
Lib\test\test_flufl.py,26,19,27%
Lib\test\test_fnmatch.py,119,97,18%
Lib\test\test_fork1.py,72,61,15%
Lib\test\test_format.py,444,411,7%
Lib\test\test_fractions.py,568,494,13%
Lib\test\test_frame.py,182,155,15%
Lib\test\test_frozen.py,34,25,26%
Lib\test\test_fstring.py,778,698,10%
Lib\test\test_ftplib.py,824,803,3%
Lib\test\test_funcattrs.py,308,258,16%
Lib\test\test_functools.py,2327,2302,1%
Lib\test\test_future3.py,18,8,56%
Lib\test\test_future4.py,7,2,71%
Lib\test\test_future5.py,13,5,62%
Lib\test\test_future.py,325,284,13%
Lib\test\test_gc.py,847,746,12%
Lib\test\test_gdb.py,374,357,5%
Lib\test\test_generator_stop.py,24,18,25%
Lib\test\test_generators.py,620,546,12%
Lib\test\test_genericclass.py,253,224,11%
Lib\test\test_genericpath.py,390,323,17%
Lib\test\test_genexps.py,12,4,67%
Lib\test\test_getargs2.py,906,738,19%
Lib\test\test_getopt.py,99,81,18%
Lib\test\test_getpass.py,109,73,33%
Lib\test\test_getpath.py,518,430,17%
Lib\test\test_gettext.py,395,301,24%
Lib\test\test_glob.py,294,253,14%
Lib\test\test_global.py,30,17,43%
Lib\test\test_graphlib.py,162,139,14%
Lib\test\test_grp.py,77,74,4%
Lib\test\test_gzip.py,633,526,17%
Lib\test\test_hash.py,199,108,46%
Lib\test\test_hashlib.py,744,725,3%
Lib\test\test_heapq.py,345,337,2%
Lib\test\test_hmac.py,338,260,23%
Lib\test\test_html.py,61,55,10%
Lib\test\test_htmlparser.py,287,213,26%
Lib\test\test_http_cookiejar.py,953,945,1%
Lib\test\test_http_cookies.py,282,278,1%
Lib\test\test_httplib.py,1460,1457,1%
Lib\test\test_httpservers.py,896,894,1%
Lib\test\test_idle.py,16,11,31%
Lib\test\test_imaplib.py,774,591,24%
Lib\test\test_imghdr.py,105,97,8%
Lib\test\test_imp.py,294,279,5%
Lib\test\test_import\__init__.py,943,917,3%
Lib\test\test_importlib\__init__.py,4,1,75%
Lib\test\test_importlib\abc.py,36,11,69%
Lib\test\test_importlib\builtin\__init__.py,4,1,75%
Lib\test\test_importlib\builtin\test_finder.py,52,51,2%
Lib\test\test_importlib\builtin\test_loader.py,66,65,2%
Lib\test\test_importlib\data01\__init__.py,0,0,100%
Lib\test\test_importlib\extension\__init__.py,4,1,75%
Lib\test\test_importlib\extension\test_case_sensitivity.py,33,28,15%
Lib\test\test_importlib\extension\test_finder.py,21,20,5%
Lib\test\test_importlib\extension\test_loader.py,183,181,1%
Lib\test\test_importlib\extension\test_path_hook.py,11,10,9%
Lib\test\test_importlib\fixtures.py,127,65,49%
Lib\test\test_importlib\frozen\__init__.py,4,1,75%
Lib\test\test_importlib\frozen\test_finder.py,150,149,1%
Lib\test\test_importlib\frozen\test_loader.py,175,174,1%
Lib\test\test_importlib\import_\__init__.py,4,1,75%
Lib\test\test_importlib\import_\test___loader__.py,53,47,11%
Lib\test\test_importlib\import_\test___package__.py,96,93,3%
Lib\test\test_importlib\import_\test_api.py,97,96,1%
Lib\test\test_importlib\import_\test_caching.py,55,54,2%
Lib\test\test_importlib\import_\test_fromlist.py,108,107,1%
Lib\test\test_importlib\import_\test_meta_path.py,87,86,1%
Lib\test\test_importlib\import_\test_packages.py,77,76,1%
Lib\test\test_importlib\import_\test_path.py,205,204,1%
Lib\test\test_importlib\import_\test_relative_imports.py,122,121,1%
Lib\test\test_importlib\namespace_pkgs\module_and_namespace_package\a_test.py,1,0,100%
Lib\test\test_importlib\resources\__init__.py,0,0,100%
Lib\test\test_importlib\resources\util.py,114,72,37%
Lib\test\test_importlib\source\__init__.py,4,1,75%
Lib\test\test_importlib\source\test_case_sensitivity.py,56,54,4%
Lib\test\test_importlib\source\test_file_loader.py,531,530,1%
Lib\test\test_importlib\source\test_finder.py,124,123,1%
Lib\test\test_importlib\source\test_path_hook.py,19,18,5%
Lib\test\test_importlib\source\test_source_encoding.py,94,93,1%
Lib\test\test_importlib\stubs.py,5,1,80%
Lib\test\test_importlib\test_abc.py,621,610,2%
Lib\test\test_importlib\test_api.py,323,322,1%
Lib\test\test_importlib\test_compatibilty_files.py,67,63,6%
Lib\test\test_importlib\test_contents.py,19,5,74%
Lib\test\test_importlib\test_files.py,29,11,62%
Lib\test\test_importlib\test_lazy.py,99,92,7%
Lib\test\test_importlib\test_locks.py,94,93,1%
Lib\test\test_importlib\test_main.py,166,153,8%
Lib\test\test_importlib\test_metadata_api.py,194,141,27%
Lib\test\test_importlib\test_namespace_pkgs.py,236,226,4%
Lib\test\test_importlib\test_open.py,54,32,41%
Lib\test\test_importlib\test_path.py,37,20,46%
Lib\test\test_importlib\test_pkg_import.py,57,40,30%
Lib\test\test_importlib\test_read.py,41,20,51%
Lib\test\test_importlib\test_reader.py,81,75,7%
Lib\test\test_importlib\test_resource.py,145,88,39%
Lib\test\test_importlib\test_spec.py,586,585,1%
Lib\test\test_importlib\test_threaded_import.py,169,130,23%
Lib\test\test_importlib\test_util.py,555,554,1%
Lib\test\test_importlib\test_windows.py,137,136,1%
Lib\test\test_importlib\test_zip.py,41,24,41%
Lib\test\test_importlib\util.py,275,227,17%
Lib\test\test_importlib\zipdata01\__init__.py,0,0,100%
Lib\test\test_importlib\zipdata02\__init__.py,0,0,100%
Lib\test\test_index.py,212,155,27%
Lib\test\test_inspect.py,2806,2771,1%
Lib\test\test_int.py,423,419,1%
Lib\test\test_int_literal.py,91,82,10%
Lib\test\test_interpreters.py,487,378,22%
Lib\test\test_io.py,3326,2811,15%
Lib\test\test_ioctl.py,66,60,9%
Lib\test\test_ipaddress.py,1543,1331,14%
Lib\test\test_isinstance.py,229,180,21%
Lib\test\test_iter.py,766,671,12%
Lib\test\test_iterlen.py,125,77,38%
Lib\test\test_itertools.py,1711,1484,13%
Lib\test\test_json\__init__.py,40,33,18%
Lib\test\test_keyword.py,25,14,44%
Lib\test\test_keywordonlyarg.py,134,105,22%
Lib\test\test_kqueue.py,185,177,4%
Lib\test\test_largefile.py,203,151,26%
Lib\test\test_launcher.py,355,291,18%
Lib\test\test_lib2to3.py,7,2,71%
Lib\test\test_linecache.py,184,132,28%
Lib\test\test_list.py,188,164,13%
Lib\test\test_listcomps.py,9,3,67%
Lib\test\test_lltrace.py,68,53,22%
Lib\test\test_locale.py,407,292,28%
Lib\test\test_logging.py,3017,2981,1%
Lib\test\test_long.py,983,893,9%
Lib\test\test_longexp.py,8,4,50%
Lib\test\test_lzma.py,1089,929,15%
Lib\test\test_mailbox.py,1569,1310,17%
Lib\test\test_mailcap.py,87,59,32%
Lib\test\test_marshal.py,470,438,7%
Lib\test\test_math.py,1444,1301,10%
Lib\test\test_memoryio.py,699,595,15%
Lib\test\test_memoryview.py,418,331,21%
Lib\test\test_metaclass.py,12,4,67%
Lib\test\test_mimetypes.py,233,186,20%
Lib\test\test_minidom.py,969,810,16%
Lib\test\test_mmap.py,673,589,12%
Lib\test\test_module.py,254,204,20%
Lib\test\test_modulefinder.py,120,73,39%
Lib\test\test_msilib.py,109,101,7%
Lib\test\test_multibytecodec.py,258,195,24%
